EVA #,Country,Crew,Vehicle,Date,Duration,Purpose
1,USA,Ed White,Gemini IV,06/03/1965,0:36,First U.S. EVA. Used HHMU and took  photos.  Gas flow cooling of 25ft umbilical overwhelmed by vehicle ingress work and helmet fogged.  Lost overglove.  Jettisoned thermal gloves and helmet sun visor
2,USA,David Scott,Gemini VIII,,0:00,HHMU EVA cancelled before starting by stuck on vehicle thruster that ended mission early
3,USA,Eugene Cernan,Gemini IX-A,06/05/1966,2:07,"Inadequate restraints, stiff 25ft umbilical and high workloads exceeded suit vent loop cooling capacity and caused fogging.  Demo called off of tethered astronaut maneuvering unit"
4,USA,Mike Collins,Gemini X,07/19/1966,0:50,Standup EVA.  UV photos of stars.  Ended by eye irritation that impaired vision 
5,USA,Mike Collins,Gemini X,07/20/1966,0:39,Retrieved MMOD experiment from docked Agena.  Used HHMU. Lost camera and retrieved experiment. EVA ended early by unrelated spacecraft problem
6,USA,Richard Gordon,Gemini XI,09/13/1966,0:44,"Attached tether between Agena and Gemini.  EVA ended early due to fatigue, overheating & eye sweat"
7,USA,Richard Gordon,Gemini XI,09/14/1966,2:10,Standup EVA.  Took star photos. Agena tether ops
8,USA,Buzz Aldrin,Gemini XII,11/12/1966,2:29,Standup EVA.  Science tasks.  Took star photos
9,USA,Buzz Aldrin,Gemini XII,11/13/1966,2:06,Attached tether between Agena and Gemini.  UV photos of stars.  Waist tether and Dutch shoe eval
10,USA,Buzz Aldrin,Gemini XII,11/14/1966,0:55,Standup EVA.  Jettisoned equipment.  Took photos
11,USA,David Scott,Apollo 9,03/06/1969,0:47,Standup EVA from crew module.  Retrieved thermal experiment samples
12,USA,Russ Schweickart,Apollo 9,03/06/1969,0:51,Lunar module based.  Took photos.  Evaluated foot restraint and handrails.  Retrieved thermal experiment samples.  First use of PLSS followed by recharge demo after EVA
13,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,07/20/1969,2:32,First to walk on the moon.  Some trouble getting out small hatch.  46.3 lb of geologic material collected.  EASEP seismograph and laser reflector exp deployed.  Solar wind exp deployed & retrieved.  400 ft (120m) circuit on foot.  Dust issue post EVA
14,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,07/20/1969,0:05,Jettison suit backpacks and equip to lighten ascent
